,B cell,"CD14-low, CD16-positive monocyte",CD14-positive monocyte,"CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human","CD34-positive, CD38-negative hematopoietic stem cell","CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell","ILC1, human",IgA plasma cell,IgG plasma cell,IgM plasma cell,T follicular helper cell,T-helper 1 cell,T-helper 2 cell,T-helper 22 cell,"central memory CD4-positive, alpha-beta T cell",class switched memory B cell,dendritic cell,"dendritic cell, human","effector CD8-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell",erythrocyte,"erythroid progenitor cell, mammalian",gamma-delta T cell,"group 2 innate lymphoid cell, human",immature B cell,mature NK T cell,mucosal invariant T cell,myeloid dendritic cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,plasmablast,plasmacytoid dendritic cell,platelet,regulatory T cell,unswitched memory B cell
IgG plasma cell,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
IgM plasma cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
T follicular helper cell,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,20,73,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,1,0,0
T-helper 1 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
T-helper 2 cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-helper 22 cell,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,377,162,0,0,0,0,0,14,0,0,27,0,0,0,23,0,0,37,16,0,0,0,7,1,0
"central memory CD4-positive, alpha-beta T cell",0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,130,668,0,0,0,11,0,18,2,0,24,0,0,1,10,0,0,160,61,0,0,0,8,0,0
class switched memory B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,0,3
dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"dendritic cell, human",0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"effector CD8-positive, alpha-beta T cell",0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,1,10,0,0,0,536,0,56,0,0,25,0,0,4,3,0,0,0,4,0,0,0,3,0,0
"effector memory CD4-positive, alpha-beta T cell",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"effector memory CD8-positive, alpha-beta T cell",0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,15,11,0,0,0,35,0,404,0,0,34,0,0,1,34,0,0,3,47,0,0,0,4,0,0
erythrocyte,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"erythroid progenitor cell, mammalian",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
gamma-delta T cell,0,0,0,0,15,0,0,0,0,0,0,0,7,0,0,46,27,0,0,0,35,0,34,0,0,171,0,0,3,38,0,0,24,12,0,0,0,2,0,0
"group 2 innate lymphoid cell, human",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immature B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,45,0,0,0,0,0,0,0,1
mature NK T cell,0,1,8,1,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,51,0,8,0,0,4,0,0,359,1,0,0,3,1,0,0,0,1,0,0
mucosal invariant T cell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,7,0,0,0,6,0,31,0,0,35,0,0,0,185,0,0,35,2,0,0,0,1,0,0
myeloid dendritic cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0
naive B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,30,0,0,0,0,0,0,0,0,0,16,0,0,0,565,2,0,0,0,0,0,0,6
"naive thymus-derived CD4-positive, alpha-beta T cell",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56,151,0,0,0,0,0,1,0,0,10,0,0,0,14,0,0,1214,31,0,0,0,1,0,0
"naive thymus-derived CD8-positive, alpha-beta T cell",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,53,0,0,0,0,0,17,0,0,10,0,0,1,3,0,0,53,611,0,0,0,1,0,0
natural killer cell,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
plasmablast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
plasmacytoid dendritic cell,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,1,0,0
platelet,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,12,10,0,0,0,3,0,3,0,0,4,0,0,0,1,0,0,6,6,0,0,0,147,0,0
regulatory T cell,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unswitched memory B cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,23
