label_seed,scheme,representation,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_evaluations,n_classes,chance_macro_f1
1002,donor_cv,scvi,0.0750963493056771,0.006299732863279573,0.07886891237167566,0.005654598588815813,5,13,0.07692307692307693
1002,random_split,harmony,0.0748210252815524,,0.08011869436201781,,1,13,0.07692307692307693
1002,random_split,hvg,0.07401207492557342,,0.07418397626112759,,1,13,0.07692307692307693
1002,random_split,pca,0.06833445142704997,,0.07270029673590504,,1,13,0.07692307692307693
1002,random_split,scvi,0.06411343572807897,,0.06824925816023739,,1,13,0.07692307692307693
1003,donor_cv,harmony,0.07264119597143934,0.005922744105698208,0.07779667373371432,0.005543059739430981,5,13,0.07692307692307693
1003,donor_cv,hvg,0.07563065852382639,0.006240027637648419,0.07575783357994056,0.0060065571751908575,5,13,0.07692307692307693
1003,donor_cv,pca,0.0707371259609637,0.006996383184257233,0.07777566287075821,0.0068630735842448755,5,13,0.07692307692307693
1003,donor_cv,scvi,0.07109127570155235,0.003951974622933563,0.078751935095711,0.00315836268021808,5,13,0.07692307692307693
1003,random_split,harmony,0.07112975137407787,,0.08061325420375866,,1,13,0.07692307692307693
1003,random_split,hvg,0.07470651891379684,,0.07418397626112759,,1,13,0.07692307692307693
1003,random_split,pca,0.069974018580256,,0.07566765578635015,,1,13,0.07692307692307693
1003,random_split,scvi,0.07322124795621249,,0.08061325420375866,,1,13,0.07692307692307693
1004,donor_cv,harmony,0.07588805305155741,0.0048228392133302924,0.08211598967451167,0.004957525994938471,5,13,0.07692307692307693
1004,donor_cv,hvg,0.07444224881148823,0.0035786661971260246,0.07468562570187413,0.003706868149805324,5,13,0.07692307692307693
1004,donor_cv,pca,0.07398173046388702,0.0029762405975418647,0.0795620062323257,0.003166157110418021,5,13,0.07692307692307693
1004,donor_cv,scvi,0.06826872186292125,0.0030381804364208115,0.0738291342068588,0.002513858689848915,5,13,0.07692307692307693
1004,random_split,harmony,0.08275046076729871,,0.08704253214638971,,1,13,0.07692307692307693
1004,random_split,hvg,0.08412978876163917,,0.0840751730959446,,1,13,0.07692307692307693
1004,random_split,pca,0.07796909859946062,,0.07962413452027696,,1,13,0.07692307692307693
1004,random_split,scvi,0.06349486901671608,,0.06627101879327399,,1,13,0.07692307692307693
1005,donor_cv,harmony,0.07216049190488485,0.006875730480706219,0.07761495416845046,0.007035460930402373,5,13,0.07692307692307693
1005,donor_cv,hvg,0.07639550719966728,0.002170762529993737,0.07686654458584848,0.002090206618440877,5,13,0.07692307692307693
1005,donor_cv,pca,0.07042062720167411,0.003953363458260077,0.07726360986889458,0.003357399653146389,5,13,0.07692307692307693
1005,donor_cv,scvi,0.06672012316546252,0.005204723500935259,0.07468686311338749,0.005439826695637286,5,13,0.07692307692307693
1005,random_split,harmony,0.06487680171467487,,0.07319485657764589,,1,13,0.07692307692307693
1005,random_split,hvg,0.07989939982162643,,0.08011869436201781,,1,13,0.07692307692307693
1005,random_split,pca,0.07281261309861786,,0.08061325420375866,,1,13,0.07692307692307693
1005,random_split,scvi,0.07309088640280043,,0.07863501483679525,,1,13,0.07692307692307693
1006,donor_cv,harmony,0.06882166835256336,0.0038995048874507906,0.07493897173230733,0.004836366918943554,5,13,0.07692307692307693
1006,donor_cv,hvg,0.07311846608468064,0.005509845697812052,0.07316258958022669,0.005493527753540524,5,13,0.07692307692307693
1006,donor_cv,pca,0.07314478979285849,0.007181415949989358,0.07910434580639107,0.006209006409676341,5,13,0.07692307692307693
1006,donor_cv,scvi,0.0663621774502196,0.0069871506327960605,0.07315506304840005,0.006112046302878713,5,13,0.07692307692307693
1006,random_split,harmony,0.06778946022267818,,0.07319485657764589,,1,13,0.07692307692307693
1006,random_split,hvg,0.07399810203652543,,0.07418397626112759,,1,13,0.07692307692307693
1006,random_split,pca,0.06375293771293125,,0.06775469831849654,,1,13,0.07692307692307693
1006,random_split,scvi,0.06464775912612494,,0.07171117705242334,,1,13,0.07692307692307693
1007,donor_cv,harmony,0.06897764155268285,0.0019297083539017129,0.0723959695790254,0.0012226462306671774,5,13,0.07692307692307693
1007,donor_cv,hvg,0.07297124616869408,0.004521616078863246,0.07341947126237455,0.004672219736584524,5,13,0.07692307692307693
1007,donor_cv,pca,0.06842042737860114,0.004154814578338844,0.07427168136747744,0.003369544046204266,5,13,0.07692307692307693
1007,donor_cv,scvi,0.06852179603744701,0.0033590851470941194,0.07668833043744615,0.004535029999180958,5,13,0.07692307692307693
1007,random_split,harmony,0.07542962210980392,,0.0791295746785361,,1,13,0.07692307692307693
1007,random_split,hvg,0.082527666466384,,0.08259149357072205,,1,13,0.07692307692307693
1007,random_split,pca,0.07648610857548709,,0.08110781404549951,,1,13,0.07692307692307693
1007,random_split,scvi,0.08288636531786611,,0.09050445103857567,,1,13,0.07692307692307693
1008,donor_cv,harmony,0.07253608772870927,0.0028639121200598494,0.07835686922481074,0.002804846811985299,5,13,0.07692307692307693
1008,donor_cv,hvg,0.07725441046081535,0.005032929858166176,0.07762304065089588,0.004775182139822179,5,13,0.07692307692307693
1008,donor_cv,pca,0.07166720826211927,0.004920098853671322,0.0776614141305865,0.006394613231258405,5,13,0.07692307692307693
1008,donor_cv,scvi,0.0703845152202296,0.004521634306640812,0.07961979363929544,0.0035690864434912806,5,13,0.07692307692307693
1008,random_split,harmony,0.07490784346610747,,0.0771513353115727,,1,13,0.07692307692307693
1008,random_split,hvg,0.07392287012581732,,0.07418397626112759,,1,13,0.07692307692307693
1008,random_split,pca,0.07836793885948179,,0.07962413452027696,,1,13,0.07692307692307693
1008,random_split,scvi,0.07682325293239047,,0.07962413452027696,,1,13,0.07692307692307693
1009,donor_cv,harmony,0.06863159481214723,0.003860473046805555,0.07352297215720664,0.004461845051625915,5,13,0.07692307692307693
1009,donor_cv,hvg,0.07638442558035659,0.0031766761685687204,0.07681916438824202,0.0032997795177700014,5,13,0.07692307692307693
1009,donor_cv,pca,0.06450871217240518,0.006353315258443083,0.07115791808241452,0.004356790023407759,5,13,0.07692307692307693
1009,donor_cv,scvi,0.07124277081954318,0.004253516317214906,0.07520100350069062,0.004462666967335957,5,13,0.07692307692307693
1009,random_split,harmony,0.06692940363887706,,0.07368941641938674,,1,13,0.07692307692307693
1009,random_split,hvg,0.0703231691542404,,0.07072205736894165,,1,13,0.07692307692307693
1009,random_split,pca,0.0744559507815459,,0.08110781404549951,,1,13,0.07692307692307693
1009,random_split,scvi,0.06905173839446693,,0.07418397626112759,,1,13,0.07692307692307693
